subject,path,app_type,repetition,energy_consumption,network_traffic,mean_cpu_load,mean_mem_usage,median_frame_time
coupang,coupang.com,web,1,609.20064,23778469,38.808510638297875,1647420.1489361702,7367625.0
coupang,coupang.com,web,2,571.32288,5054400,38.44901960784314,1910464.843137255,7221285.0
coupang,coupang.com,web,3,617.0918399999999,24405710,38.37864077669903,1910041.009708738,6970324.0
coupang,coupang.com,web,4,621.8265600000001,4119243,38.58252427184466,1867812.7669902912,7723693.0
coupang,coupang.com,web,5,609.20064,2044381,32.46153846153846,1897624.9038461538,6995394.0
coupang,coupang.com,web,6,629.71776,3196356,38.362500000000004,1649094.6979166667,7005085.0
coupang,coupang.com,web,7,626.5612800000001,2202574,38.45263157894737,1636592.7157894736,7016876.0
coupang,coupang.com,web,8,647.0784,16838391,32.300970873786405,1822723.0,7080392.0
coupang,coupang.com,web,9,626.5612800000001,2095407,38.44859813084112,1572880.4205607476,6840191.0
coupang,coupang.com,web,10,569.74464,3489507,34.45544554455446,1724723.0396039605,6943842.0
coupang,coupang.com,web,11,789.12,215728525,39.49523809523809,1604535.1333333333,7372340.0
coupang,coupang.com,web,12,628.13952,132355311,38.57843137254902,1897467.6274509805,7103073.0
coupang,coupang.com,web,13,555.54048,19004818,38.772277227722775,1856134.8712871287,7414711.0
coupang,coupang.com,web,14,631.2959999999999,4383209,38.26470588235294,1766382.2450980393,6729725.0
coupang,coupang.com,web,15,626.5612800000001,2014990,38.332038834951454,1962089.2524271845,6792484.0
coupang,coupang.com,web,16,631.2959999999999,1963405,31.901960784313726,1834414.5098039217,6991376.0
coupang,coupang.com,web,17,626.5612800000001,25357618,32.971698113207545,1731952.4716981133,7078634.0
coupang,coupang.com,web,18,628.13952,4842716,38.76699029126213,1996210.854368932,7104146.0
coupang,coupang.com,web,19,869.61024,3939269,38.705882352941174,1792660.294117647,7000355.0
coupang,coupang.com,web,20,677.06496,14990145,38.43269230769231,1661295.923076923,8726207.0
coupang,coupang.com,web,21,546.07104,2043090,38.735849056603776,1673026.0943396227,7567864.0
coupang,coupang.com,web,22,626.5612800000001,2215343,38.85436893203884,1909618.932038835,6976245.0
coupang,coupang.com,web,23,550.8057600000001,1957472,53.78787878787879,1650907.7777777778,6682762.0
coupang,coupang.com,web,24,629.71776,1965259,47.135416666666664,2198063.3229166665,6998102.0
coupang,coupang.com,web,25,623.4047999999999,14031047,33.144329896907216,1925675.175257732,6857204.0
linkedin,linkedin.com,web,1,558.6969600000001,21908218,37.51063829787234,2030419.3617021276,10035364.0
linkedin,linkedin.com,web,2,577.7658,12622347,37.2680412371134,1675999.5567010308,10345885.0
linkedin,linkedin.com,web,3,558.6969600000001,6660415,37.67669902912621,1692120.5242718447,11266733.0
linkedin,linkedin.com,web,4,560.2751999999999,7563421,37.784946236559136,2011389.2795698924,8736028.0
linkedin,linkedin.com,web,5,561.85344,5433122,37.46808510638298,2017511.2234042552,9429549.0
linkedin,linkedin.com,web,6,557.31456,4209662,37.95744680851064,2026581.0531914893,9858778.0
linkedin,linkedin.com,web,7,555.6049200000001,4178373,38.28421052631579,1685066.8315789474,10130233.0
linkedin,linkedin.com,web,8,546.07104,4796031,38.02173913043478,2023179.9130434783,11346594.0
linkedin,linkedin.com,web,9,561.9366,4538229,36.68421052631579,1652517.7789473685,9377714.0
linkedin,linkedin.com,web,10,544.6483199999999,2094408,37.787234042553195,2024032.1914893617,10721365.0
linkedin,linkedin.com,web,11,555.6049200000001,5829919,37.829787234042556,2033709.4893617022,9518431.0
linkedin,linkedin.com,web,12,541.48176,6401744,37.723404255319146,2025382.574468085,9648215.0
linkedin,linkedin.com,web,13,549.2275199999999,4268383,37.11724137931034,1676984.7471264368,11744721.0
linkedin,linkedin.com,web,14,558.7707599999999,4203080,36.88461538461539,1615586.6153846155,9396101.0
linkedin,linkedin.com,web,15,584.0974799999999,3392167,37.509302325581395,1655551.7209302327,9377578.0
linkedin,linkedin.com,web,16,563.51952,2121236,37.27884615384615,1611666.5192307692,8546810.0
linkedin,linkedin.com,web,17,563.51952,4222066,37.20454545454545,1656823.8636363635,10621076.0
linkedin,linkedin.com,web,18,558.6969600000001,4286165,37.66990291262136,1636016.7572815535,11380068.0
linkedin,linkedin.com,web,19,557.1878400000002,4809403,37.57692307692308,1635019.5673076923,9809752.0
linkedin,linkedin.com,web,20,565.00992,4243317,37.69230769230769,1637416.3846153845,9519114.0
linkedin,linkedin.com,web,21,558.6969600000001,3619593,37.80769230769231,1637434.8942307692,11602484.0
linkedin,linkedin.com,web,22,560.4811199999999,4317320,37.33980582524272,1615170.2330097088,11037205.0
linkedin,linkedin.com,web,23,562.0644,2157527,37.4,1641873.0095238094,8120566.0
linkedin,linkedin.com,web,24,544.6483199999999,4209260,35.270833333333336,1673778.59375,9758547.0
linkedin,linkedin.com,web,25,569.9807999999999,4154118,37.712765957446805,2028600.2234042552,8163307.0
weather,weather.com,web,1,550.2420000000001,2136675,36.75221238938053,1768299.017699115,9942975.0
weather,weather.com,web,2,551.8141200000001,2523808,36.05084745762712,1743104.5084745763,10700238.0
weather,weather.com,web,3,564.3910799999999,7484904,36.0,1721357.0336134455,10692344.0
weather,weather.com,web,4,547.09776,8645386,35.596638655462186,1749992.7226890756,12018796.0
weather,weather.com,web,5,548.66988,9157966,35.61206896551724,1765418.1551724137,11085994.0
weather,weather.com,web,6,556.53048,11467532,36.357142857142854,1750761.3035714286,13038488.0
weather,weather.com,web,7,542.3814,8586246,24.66990291262136,1575386.436893204,9945244.0
weather,weather.com,web,8,554.95836,11287495,24.552380952380954,1577891.019047619,10674036.0
weather,weather.com,web,9,542.3814,6822424,36.29661016949152,1768539.5508474577,11336774.0
weather,weather.com,web,10,551.8141200000001,9095730,36.47863247863248,1753145.9401709402,9159998.0
weather,weather.com,web,11,463.77540000000005,8905768,36.1578947368421,1743753.5263157894,8740750.0
weather,weather.com,web,12,556.53048,10600118,35.86363636363637,1701185.5363636364,11285803.0
weather,weather.com,web,13,547.09776,6835750,35.612612612612615,1738736.1171171172,9117823.0
weather,weather.com,web,14,470.0638799999999,9302891,35.9327868852459,1759665.286885246,12142302.0
weather,weather.com,web,15,545.5256400000001,6928489,36.26890756302521,1771762.7647058824,9642663.0
weather,weather.com,web,16,504.6505200000001,11303293,35.60877192982456,1691789.0614035088,9451093.0
weather,weather.com,web,17,547.09776,9376641,28.096153846153847,1639592.2307692308,9703296.0
weather,weather.com,web,18,548.66988,9120404,35.77355371900827,1705298.4876033058,8740857.0
weather,weather.com,web,19,559.67472,10275359,35.75798319327731,1733850.43697479,11150682.0
weather,weather.com,web,20,600.5498400000001,8934475,36.557522123893804,1728387.2123893804,12974003.0
weather,weather.com,web,21,542.3814,11621763,35.85087719298246,1699489.5614035088,9848539.0
weather,weather.com,web,22,556.53048,8776738,35.226890756302524,1708987.2857142857,12399957.0
weather,weather.com,web,23,547.09776,10442586,35.981308411214954,1724146.5046728973,12018047.0
weather,weather.com,web,24,554.95836,10343698,36.625,1728381.9910714286,10558401.0
weather,weather.com,web,25,548.66988,8876389,35.765765765765764,1714629.2252252253,29151662.0
spotify,open.spotify.com,web,1,586.93788,14793887,35.95575221238938,1683302.353982301,31842853.0
spotify,open.spotify.com,web,2,588.51144,8885285,35.92035398230089,1683884.442477876,36018918.0
spotify,open.spotify.com,web,3,596.37924,8648264,35.991150442477874,1678101.628318584,25169513.0
spotify,open.spotify.com,web,4,591.6585600000001,8711029,36.61206896551724,1680807.2672413792,29143462.0
spotify,open.spotify.com,web,5,588.51144,8895641,36.964285714285715,1683255.8214285714,33133811.0
spotify,open.spotify.com,web,6,585.36432,8331845,35.973684210526315,1687656.8245614036,32027325.0
spotify,open.spotify.com,web,7,596.37924,10727540,36.02608695652174,1662378.095652174,36827433.0
spotify,open.spotify.com,web,8,446.89104,8747027,36.283185840707965,1727927.0884955751,35427651.0
spotify,open.spotify.com,web,9,593.23212,9291018,36.05263157894737,1671068.7807017544,11656371.0
spotify,open.spotify.com,web,10,588.51144,10147740,35.70940170940171,1738552.1965811965,39065600.0
spotify,open.spotify.com,web,11,593.23212,8723795,35.89818181818182,1706048.509090909,28085224.0
spotify,open.spotify.com,web,12,585.36432,8846352,38.48672566371681,1713174.982300885,35886873.0
spotify,open.spotify.com,web,13,588.51144,8980729,35.63157894736842,1707262.9649122807,35803992.0
spotify,open.spotify.com,web,14,588.51144,8900890,36.827586206896555,1693345.6810344828,34037670.0
spotify,open.spotify.com,web,15,586.93788,8598852,37.4,1708992.2,33075939.0
spotify,open.spotify.com,web,16,607.3941599999999,0,35.785714285714285,1676077.080357143,34142311.0
spotify,open.spotify.com,web,17,590.0849999999999,8839544,36.71304347826087,1666977.8086956523,33996493.0
spotify,open.spotify.com,web,18,586.93788,10924550,37.33913043478261,1745185.4782608696,36379304.0
spotify,open.spotify.com,web,19,591.6585600000001,7856409,35.582608695652176,1678993.6260869566,35429060.0
spotify,open.spotify.com,web,20,585.36432,9266960,36.224137931034484,1731132.948275862,29784865.0
spotify,open.spotify.com,web,21,583.79076,8748203,36.794642857142854,1691062.125,35288416.0
spotify,open.spotify.com,web,22,601.0999200000001,8815427,35.99130434782609,1694189.2173913044,38347300.0
spotify,open.spotify.com,web,23,588.51144,9388260,23.75,1667551.103448276,32590022.0
spotify,open.spotify.com,web,24,597.9528,8807158,36.174311926605505,1616221.7155963304,37128208.0
spotify,open.spotify.com,web,25,586.93788,9212280,35.84,1695027.9652173913,36557487.0
espn,espn.com,web,1,482.94144,12102751,27.29032258064516,2013077.935483871,8441110.0
espn,espn.com,web,2,487.6761600000001,2142433,27.23010752688172,1973159.7741935484,7158282.0
espn,espn.com,web,3,482.94144,2226010,26.90212765957447,2001115.5957446808,6440418.0
espn,espn.com,web,4,481.3632,2117303,26.9247311827957,1999868.8817204302,6391925.0
espn,espn.com,web,5,484.51967999999994,2835315,26.978494623655912,2004038.7634408602,6768636.0
espn,espn.com,web,6,484.51967999999994,2085898,27.06808510638298,1986619.6595744682,8755744.0
espn,espn.com,web,7,484.51967999999994,2083620,27.010752688172044,1993180.9032258065,7435110.0
espn,espn.com,web,8,479.78495999999996,2120157,26.849462365591396,2005153.4731182796,8055862.0
espn,espn.com,web,9,482.94144,1658690,27.679569892473115,2010328.9784946237,6884498.0
espn,espn.com,web,10,482.94144,0,27.516129032258064,2000578.8924731184,6421051.0
espn,espn.com,web,11,484.51967999999994,0,27.462365591397848,2042939.3655913977,7142283.0
espn,espn.com,web,12,484.51967999999994,2142926,27.23913043478261,2033466.0108695652,7059697.0
espn,espn.com,web,13,486.09792000000004,2107054,27.376344086021504,1991989.0752688171,7600596.0
espn,espn.com,web,14,486.09792000000004,0,27.06382978723404,2016915.9787234042,7393179.0
espn,espn.com,web,15,481.3632,2112802,27.0752688172043,2014186.935483871,6584853.0
espn,espn.com,web,16,476.6284799999999,2078321,26.956989247311828,2006816.8494623655,6334071.0
espn,espn.com,web,17,484.51967999999994,2084515,27.150537634408604,2005712.7204301076,6698141.0
espn,espn.com,web,18,487.6761600000001,1877629,27.161290322580644,2025458.1505376345,7621529.0
espn,espn.com,web,19,481.3632,2159865,26.956989247311828,2009815.0107526882,6734680.0
espn,espn.com,web,20,487.6761600000001,2082891,26.817204301075268,1999977.5376344086,7105438.0
espn,espn.com,web,21,487.6761600000001,0,27.386021505376345,2024263.5806451612,6242355.0
espn,espn.com,web,22,479.78495999999996,1118566,27.21505376344086,2016759.3010752688,7386005.0
espn,espn.com,web,23,486.09792000000004,0,27.27956989247312,2028072.4516129033,7855129.0
espn,espn.com,web,24,478.2067200000001,0,27.35483870967742,2039665.5161290322,7236353.0
espn,espn.com,web,25,489.2544,2194739,27.13978494623656,2020300.9139784947,8067558.0
shopee,shopee.tw,web,1,485.45856000000003,24599560,28.145631067961165,1643579.4077669904,6706305.0
shopee,shopee.tw,web,2,493.26336000000003,5648907,31.217821782178216,1875676.7722772278,7980157.0
shopee,shopee.tw,web,3,524.48256,6996099,29.36842105263158,1869921.747368421,10987570.0
shopee,shopee.tw,web,4,493.26336000000003,2101354,28.594059405940595,1654361.8316831684,8210100.0
shopee,shopee.tw,web,5,514.5541200000001,2282848,29.784313725490197,1853896.049019608,7979780.0
shopee,shopee.tw,web,6,482.33664,0,27.11764705882353,1647693.1470588236,11688385.0
shopee,shopee.tw,web,7,485.45856000000003,3926406,27.169811320754718,1704661.933962264,8956622.0
shopee,shopee.tw,web,8,497.94624000000005,3237973,30.214285714285715,1885303.2448979593,6669423.0
shopee,shopee.tw,web,9,519.2748,9141974,27.820869565217393,1597609.391304348,9716718.0
shopee,shopee.tw,web,10,501.96564,0,29.47578947368421,1889286.8736842105,8370944.0
shopee,shopee.tw,web,11,501.96564,2402210,27.225,1629434.6,6720541.0
shopee,shopee.tw,web,12,477.65376000000003,1218609,27.57758620689655,1634084.1637931035,4955741.0
shopee,shopee.tw,web,13,496.3852800000001,0,27.74774774774775,1621264.2882882883,8557039.0
shopee,shopee.tw,web,14,480.7756800000001,2088578,28.228813559322035,1600451.6610169492,10530859.0
shopee,shopee.tw,web,15,499.50719999999995,4434324,27.88118811881188,1772363.5742574257,7996398.0
shopee,shopee.tw,web,16,505.75103999999993,0,30.36842105263158,1831918.9385964912,9891515.0
shopee,shopee.tw,web,17,497.94624000000005,2219779,28.310344827586206,1601226.7586206896,6273011.0
shopee,shopee.tw,web,18,504.1900799999999,2504221,27.448275862068964,1604517.8706896552,6551638.0
shopee,shopee.tw,web,19,453.18528,929802,31.06,1920835.52,7080947.0
shopee,shopee.tw,web,20,480.7756800000001,7134933,28.88659793814433,1863923.6494845361,9066505.0
shopee,shopee.tw,web,21,482.33664,2082745,33.17355371900826,1808417.8512396694,9407452.0
shopee,shopee.tw,web,22,457.36128,2087458,28.063063063063062,1723050.3963963964,12466128.0
shopee,shopee.tw,web,23,494.09783999999996,2975471,27.017094017094017,1605352.2735042735,31516094.0
shopee,shopee.tw,web,24,512.98056,0,29.277227722772277,1781239.3267326732,24757292.0
shopee,shopee.tw,web,25,501.06816,0,23.548000000000002,1622383.37,6717814.0
pinterest,nl.pinterest.com,web,1,545.7754800000001,2085689,34.65299145299145,1956694.5384615385,12142604.0
pinterest,nl.pinterest.com,web,2,490.72607999999997,29588937,32.592233009708735,1876472.650485437,7196617.0
pinterest,nl.pinterest.com,web,3,519.0372,28038895,34.733333333333334,1734689.3904761905,17858763.0
pinterest,nl.pinterest.com,web,4,528.47424,22325190,40.70175438596491,1972589.5614035088,17642330.0
pinterest,nl.pinterest.com,web,5,539.48412,7906114,22.570093457943926,1542500.785046729,10633409.0
pinterest,nl.pinterest.com,web,6,583.5236399999999,16237238,36.833333333333336,1735006.1666666667,13011373.0
pinterest,nl.pinterest.com,web,7,515.89152,7190150,43.85353535353536,1755456.606060606,13103663.0
pinterest,nl.pinterest.com,web,8,506.4544800000001,28613561,34.94117647058823,1669172.4411764706,5398856.0
pinterest,nl.pinterest.com,web,9,530.04708,11454472,34.50535714285714,1929443.669642857,6910851.0
pinterest,nl.pinterest.com,web,10,846.18792,11510945,34.85344827586207,1974771.3275862068,9165572.0
pinterest,nl.pinterest.com,web,11,517.46436,23288292,39.6078431372549,1681784.9901960783,11235844.0
pinterest,nl.pinterest.com,web,12,589.8149999999999,33028885,33.87155963302752,1703968.1467889908,7740605.0
pinterest,nl.pinterest.com,web,13,618.1261199999999,17449446,33.74311926605505,1697961.376146789,41586625.0
pinterest,nl.pinterest.com,web,14,515.89152,22296714,51.00934579439252,1981092.6542056075,9339351.0
pinterest,nl.pinterest.com,web,15,597.6792,21734210,31.59633027522936,1877223.128440367,13408594.0
pinterest,nl.pinterest.com,web,16,619.69896,48829380,33.78983050847457,1918657.7711864407,7941014.0
pinterest,nl.pinterest.com,web,17,511.173,21743230,32.575,1971543.4083333334,7666996.0
pinterest,nl.pinterest.com,web,18,520.6100399999999,32466443,36.632075471698116,1743419.1792452831,7880898.0
pinterest,nl.pinterest.com,web,19,435.402,32300531,33.80508474576271,1906173.0847457626,7004638.0
pinterest,nl.pinterest.com,web,20,575.65944,11959939,33.53050847457627,1940352.5254237289,12122645.0
pinterest,nl.pinterest.com,web,21,520.6100399999999,44000129,27.27102803738318,1549380.981308411,10727292.0
pinterest,nl.pinterest.com,web,22,541.05696,7043425,34.59145299145299,1942346.3076923077,6352473.0
pinterest,nl.pinterest.com,web,23,533.19276,14467028,31.56756756756757,1594397.792792793,12295776.0
pinterest,nl.pinterest.com,web,24,504.88164,9240874,40.231404958677686,1806412.4545454546,8078613.0
pinterest,nl.pinterest.com,web,25,493.87176000000005,16640857,35.42782608695652,1897419.095652174,10841709.0
twitch,twitch.tv,web,1,548.66988,101807115,33.79207920792079,1676109.2475247525,6476581.0
twitch,twitch.tv,web,2,561.24684,54889700,33.65346534653465,1697891.9702970297,6484229.0
twitch,twitch.tv,web,3,550.2420000000001,96793824,35.65384615384615,1668768.6153846155,29478215.0
twitch,twitch.tv,web,4,570.6795599999999,96137693,33.70582524271845,1748300.786407767,6608950.0
twitch,twitch.tv,web,5,559.67472,97132424,35.05769230769231,1675913.798076923,5724540.0
twitch,twitch.tv,web,6,567.53532,97360340,33.6,1699230.49,7147138.0
twitch,twitch.tv,web,7,570.6795599999999,99768929,34.255319148936174,1693282.6170212766,12331880.0
twitch,twitch.tv,web,8,547.09776,100161740,33.22549019607843,1683554.549019608,6131542.0
twitch,twitch.tv,web,9,550.2420000000001,102625450,35.309615384615384,1683701.1826923077,22300620.0
twitch,twitch.tv,web,10,565.9631999999999,105855661,34.67307692307692,1680536.4423076923,7280597.0
twitch,twitch.tv,web,11,545.5256400000001,105112843,33.21649484536083,1698605.381443299,6439691.0
twitch,twitch.tv,web,12,547.09776,103200884,34.85294117647059,1669092.3921568627,7626773.0
twitch,twitch.tv,web,13,558.1026,101827491,35.425,1694832.1538461538,22784621.0
twitch,twitch.tv,web,14,562.8189599999998,100521771,35.49038461538461,1677485.5192307692,24345312.0
twitch,twitch.tv,web,15,547.09776,102043041,33.5,1700125.0288461538,33783155.0
twitch,twitch.tv,web,16,561.24684,104721528,34.63461538461539,1670600.4903846155,6681989.0
twitch,twitch.tv,web,17,551.8141200000001,105198608,34.7686274509804,1681504.705882353,8790143.0
twitch,twitch.tv,web,18,561.24684,83808950,35.0,1691024.8173076923,9251388.0
twitch,twitch.tv,web,19,504.6505200000001,104693427,34.8252427184466,1691183.5533980583,7513972.0
twitch,twitch.tv,web,20,548.66988,68916052,31.701923076923077,1683230.6538461538,6967737.0
twitch,twitch.tv,web,21,556.53048,0,34.0873786407767,1671672.640776699,7011216.0
twitch,twitch.tv,web,22,573.8238,0,35.48039215686274,1701667.637254902,22858142.0
twitch,twitch.tv,web,23,561.24684,349446077,34.79047619047619,1689845.9333333333,25529987.0
twitch,twitch.tv,web,24,531.3765599999999,112943749,34.71844660194175,1689625.2815533981,7031178.0
twitch,twitch.tv,web,25,547.09776,105334066,29.82075471698113,1676446.0471698113,7179641.0
soundcloud,soundcloud.com,web,1,605.8206,10507345,44.1,1642903.82,8484751.0
soundcloud,soundcloud.com,web,2,610.5412799999999,8936223,44.41,1631764.8,8845792.0
soundcloud,soundcloud.com,web,3,605.8206,8141524,41.43030303030304,1635653.5151515151,8078851.0
soundcloud,soundcloud.com,web,4,604.24704,8560438,44.41904761904762,1647679.3047619048,8840515.0
soundcloud,soundcloud.com,web,5,605.8206,8438398,44.82666666666667,1639209.0,23063377.0
soundcloud,soundcloud.com,web,6,612.11484,8947770,46.556603773584904,1644741.6132075472,9646271.0
soundcloud,soundcloud.com,web,7,610.5412799999999,8390537,45.86,1628026.29,7334675.0
soundcloud,soundcloud.com,web,8,610.5412799999999,8599439,43.98,1632670.33,8271633.0
soundcloud,soundcloud.com,web,9,602.6734799999999,8440806,45.43396226415094,1625103.4433962265,22097513.0
soundcloud,soundcloud.com,web,10,607.3941599999999,8465630,44.71,1633795.83,10205283.0
soundcloud,soundcloud.com,web,11,615.26196,8705269,44.613207547169814,1626296.6698113207,8036936.0
soundcloud,soundcloud.com,web,12,610.5412799999999,8973803,45.101010101010104,1622426.4444444445,8288500.0
soundcloud,soundcloud.com,web,13,607.3941599999999,8228529,46.67619047619048,1641609.6952380952,9173009.0
soundcloud,soundcloud.com,web,14,608.9677200000001,8366704,43.784,1645319.11,22627207.0
soundcloud,soundcloud.com,web,15,610.5412799999999,8470920,44.25688073394495,1619232.7064220184,9000055.0
soundcloud,soundcloud.com,web,16,610.5412799999999,8816923,44.857142857142854,1632680.8285714285,8660189.0
soundcloud,soundcloud.com,web,17,610.5412799999999,8447893,44.772277227722775,1643206.9405940594,8985696.0
soundcloud,soundcloud.com,web,18,608.9677200000001,8650468,45.10476190476191,1640096.6285714286,7381057.0
soundcloud,soundcloud.com,web,19,555.46668,8399973,45.91428571428571,1633182.0285714285,7770781.0
soundcloud,soundcloud.com,web,20,610.5412799999999,8621824,46.03883495145631,1659334.854368932,8761192.0
soundcloud,soundcloud.com,web,21,604.24704,8868033,43.98,1626234.13,8107931.0
soundcloud,soundcloud.com,web,22,608.9677200000001,8368767,45.18,1625482.93,9127676.0
soundcloud,soundcloud.com,web,23,613.6884,8207550,45.1,1628497.76,22233039.0
soundcloud,soundcloud.com,web,24,605.8206,8901188,44.733333333333334,1631405.6285714286,9083863.0
soundcloud,soundcloud.com,web,25,607.3941599999999,8280372,45.55339805825243,1619217.854368932,8729279.0
youtube,youtube.com,web,1,692.4952800000001,26716816,42.437254901960785,1667099.294117647,26268016.0
youtube,youtube.com,web,2,683.1792,26761965,44.46601941747573,1682429.4854368933,27436103.0
youtube,youtube.com,web,3,683.1792,27684000,43.85,1712016.41,25421680.0
youtube,youtube.com,web,4,676.96848,8791087,43.32673267326733,1695283.603960396,42525146.0
youtube,youtube.com,web,5,683.1792,0,43.32673267326733,1676008.7425742573,16348038.0
youtube,youtube.com,web,6,685.4443200000001,25514998,43.28155339805825,1716235.922330097,34144304.0
youtube,youtube.com,web,7,681.6265199999999,25666309,43.332038834951454,1679120.854368932,27773690.0
youtube,youtube.com,web,8,680.07384,27325831,43.603960396039604,1656384.6831683167,34200355.0
youtube,youtube.com,web,9,669.2050800000001,25770289,42.3235294117647,1670983.7843137255,19541274.0
youtube,youtube.com,web,10,680.07384,30126158,43.549019607843135,1664106.7745098039,22169537.0
youtube,youtube.com,web,11,683.1792,26712301,43.27450980392157,1706094.7843137255,12224534.0
youtube,youtube.com,web,12,670.75776,28929987,43.98613861386139,1712848.9108910891,15433831.0
youtube,youtube.com,web,13,692.4952800000001,26166931,43.31683168316832,1703113.693069307,28424116.0
youtube,youtube.com,web,14,676.96848,32206731,43.16831683168317,1667155.9702970297,31226018.0
youtube,youtube.com,web,15,611.75592,27599615,42.83168316831683,1718288.603960396,24021457.0
youtube,youtube.com,web,16,650.57292,30119264,41.625,1675552.923076923,16704317.0
youtube,youtube.com,web,17,659.889,28224199,43.333333333333336,1712272.4747474748,14956384.0
youtube,youtube.com,web,18,680.07384,28457745,43.74,1677050.53,7287361.0
youtube,youtube.com,web,19,676.96848,26517636,42.90196078431372,1683523.5098039217,29401443.0
youtube,youtube.com,web,20,680.07384,36474864,43.817346938775515,1674474.8265306123,16492409.0
youtube,youtube.com,web,21,699.5934,27480723,32.5,1669581.0377358492,16750458.0
youtube,youtube.com,web,22,517.0424399999999,26872144,38.28431372549019,1676545.1176470588,23917653.0
youtube,youtube.com,web,23,673.86312,31041190,44.36274509803921,1683608.7843137255,25323404.0
youtube,youtube.com,web,24,672.31044,31706731,42.78217821782178,1665121.9900990098,20569995.0
youtube,youtube.com,web,25,670.75776,17879369,43.78095238095238,1680798.980952381,22466335.0
pinterest,com.pinterest,native,1,445.6944,82428927,17.20990099009901,287788.9900990099,6593994.0
pinterest,com.pinterest,native,2,361.30752,112012697,20.976190476190474,255747.9623015873,7853614.0
pinterest,com.pinterest,native,3,489.3501600000001,86683635,29.159274193548388,289261.77419354836,8352965.0
pinterest,com.pinterest,native,4,474.9948,128885488,23.084016393442624,294007.1618852459,8652534.0
pinterest,com.pinterest,native,5,503.02727999999996,84698516,12.032993890020366,290265.21181262727,7944110.0
pinterest,com.pinterest,native,6,455.80032,97423015,23.1479674796748,274627.73983739835,8167679.0
pinterest,com.pinterest,native,7,445.40496,96832020,31.661322645290582,284860.8096192385,7957474.0
pinterest,com.pinterest,native,8,436.0608,63715953,33.688741721854306,220840.00883002207,7665615.0
pinterest,com.pinterest,native,9,440.73288,59597969,37.35856573705179,284433.3326693227,6929154.0
pinterest,com.pinterest,native,10,434.74752,2046035,40.445807770961146,257612.9918200409,9333167.0
pinterest,com.pinterest,native,11,445.6944,82147317,26.043392504930967,271074.3550295858,7816233.0
pinterest,com.pinterest,native,12,465.65064,76710106,47.718106995884774,237528.17283950618,7641895.0
